6.07,91.1,121.16,5,5,totallyDone,0,4:00 pm,2
6.05,90.81,120.78,5,5,totallyDone,1,4:00 pm,5
3.97,60,79.8,5,5,totallyDone,1,3:30 pm,4
7.34,110.1,146.43,5,5,totallyDone,0,7:00 am,2
8.02,120.34,160.06,5,5,totallyDone,0,6:30 am,2
NaN,0,20,none,none,cancelled,0,7:00 am,2
3.98,60,79.8,5,5,totallyDone,1,1:55 pm,8
8.14,122.14,162.45,5,5,totallyDone,1,8:00 am,3
8.63,129.39,172.08,4,5,totallyDone,1,9:15 am,8
5.37,80.61,107.21,5,5,totallyDone,6,4:00 pm,17
5.14,77.08,102.51,5,5,totallyDone,5,4:00 pm,1
5.51,82.71,110.01,5,5,totallyDone,9,5:00 pm,17
NaN,0,0,none,none,cancelled_Admin,6,5:30 pm,8
5.14,77.15,102.61,5,5,totallyDone,4,6:00 pm,9
7.57,113.49,150.94,4,5,totallyDone,3,5:00 pm,4
7.57,113.57,151.04,5,4,totallyDone,3,5:00 pm,4
7.61,114.21,151.9,5,5,totallyDone,3,5:00 pm,1
7.54,113.13,150.46,5,4,totallyDone,4,5:00 pm,14
4.08,61.27,81.49,4,5,totallyDone,1,5:00 pm,2
8.31,124.63,165.76,5,4,totallyDone,3,3:35 pm,6
4.13,62,82.46,5,5,totallyDone,1,10:30 am,3
7.6,114.03,151.66,5,5,totallyDone,0,7:00 am,2
5.26,78.87,104.9,5,5,totallyDone,3,5:00 pm,3
5.41,81.1,107.87,5,5,totallyDone,3,5:00 pm,3
5.45,81.78,108.77,5,5,totallyDone,1,5:00 pm,4
NaN,0,0,none,none,cancelled_Admin,9,6:40 pm,16
7.27,109,144.97,5,5,totallyDone,0,8:00 am,3
8.26,123.97,164.88,4,5,totallyDone,0,2:00 pm,1
4.05,60.74,80.78,5,5,totallyDone,0,6:30 pm,3
NaN,0,20,none,none,cancelled,0,6:30 pm,4
4.01,60.18,80.04,5,5,totallyDone,4,11:30 am,10
3.55,60,79.8,5,5,totallyDone,1,11:30 am,2
4.63,69.51,92.44,5,5,totallyDone,1,10:00 am,6
0.99,60,79.8,5,5,totallyDone,0,10:30 am,2
NaN,0,0,none,none,cancelled_Admin,0,10:00 am,3
-16.29,60,79.8,5,5,totallyDone,0,6:45 am,1
4.01,60.2,80.07,5,5,totallyDone,2,9:30 am,4
6.92,103.79,138.04,5,5,totallyDone,1,8:00 am,6
7.44,111.67,148.53,5,5,totallyDone,1,6:30 am,8
4.26,63.86,84.94,3,5,totallyDone,0,5:00 pm,4
4.06,60.91,81.01,5,5,totallyDone,2,10:00 am,7
3.99,60,79.8,5,5,totallyDone,0,10:00 am,1
3.79,60,79.8,5,5,totallyDone,1,10:00 am,5
8.75,131.24,174.55,5,5,totallyDone,1,6:30 am,8
3.35,60,79.8,5,5,totallyDone,3,9:45 am,10
3.34,60,79.8,5,5,totallyDone,3,9:45 am,1
4.16,62.41,83,5,5,totallyDone,0,5:00 pm,2
5.05,75.69,100.67,5,5,totallyDone,0,5:30 pm,1
4.45,66.71,88.72,5,5,totallyDone,2,10:00 am,13
7.31,109.66,145.85,5,5,totallyDone,1,4:00 pm,6
2.59,60,79.8,5,5,totallyDone,1,4:00 pm,3
7.98,119.64,159.12,5,5,totallyDone,1,4:00 pm,1
7.99,119.83,159.37,5,3,totallyDone,1,4:00 pm,4
NaN,0,0,none,none,cancelled_Admin,2,4:00 pm,3
4.37,65.51,87.13,5,5,totallyDone,1,3:00 pm,6
